time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-09T23:19:00.600Z,18.9395,-66.3352,19,2.5,Md,3,280.8,0.49407341,0.15,pr,pr15160008,2015-06-10T07:21:39.242Z,"52km N of Brenas, Puerto Rico",earthquake
2015-06-09T21:58:41.530Z,33.778,-115.7006667,10.48,3.83,ml,80,41,0.08727,0.18,ci,ci37396400,2015-06-10T12:39:08.642Z,"29km WNW of Desert Center, California",earthquake
2015-06-09T21:49:46.120Z,34.9911,26.7053,10,5.4,mb,,42,1.517,1.03,us,us20002ney,2015-06-10T05:42:16.890Z,"47km ESE of Palaikastron, Greece",earthquake
2015-06-09T20:23:58.340Z,38.8496667,-122.7803333,2.13,2.5,md,78,39,0.007695,0.06,nc,nc72463366,2015-06-10T04:03:03.066Z,"5km WNW of Cobb, California",earthquake
2015-06-09T19:47:56.600Z,36.7434,-98.2235,4.753,3.3,ml,,107,,0.83,us,us20002nca,2015-06-10T15:36:06.993Z,"11km E of Cherokee, Oklahoma",earthquake
2015-06-09T19:44:30.800Z,35.7985,-97.4427,5.098,2.6,ml,,102,,0.82,us,us20002ne8,2015-06-10T15:32:23.089Z,"9km S of Guthrie, Oklahoma",earthquake
2015-06-09T19:23:56.140Z,74.5539,8.3689,13.45,5,mb,,57,4.462,0.79,us,us20002nc4,2015-06-10T15:16:39.154Z,"Greenland Sea",earthquake
2015-06-09T18:44:52.240Z,41.019,142.9343,26.48,4.7,mb,,88,1.009,1.05,us,us20002nbr,2015-06-10T14:56:59.541Z,"134km ENE of Hachinohe, Japan",earthquake
2015-06-09T17:28:11.570Z,74.6262,8.7429,27.81,4.5,mb,,64,4.375,0.71,us,us20002nb8,2015-06-10T14:46:03.125Z,"Greenland Sea",earthquake
2015-06-09T17:00:21.570Z,41.4928,141.9972,65.14,4.3,mb,,130,1.012,1.04,us,us20002nb1,2015-06-10T01:03:04.240Z,"69km ENE of Mutsu, Japan",earthquake
2015-06-09T16:44:43.490Z,-23.9173,-66.6383,199.93,4.6,mb,,34,2.46,0.83,us,us20002nas,2015-06-10T00:47:13.663Z,"46km NW of San Antonio de los Cobres, Argentina",earthquake
2015-06-09T15:27:16.490Z,19.4962,-108.822,10,4.1,mb,,213,4.297,0.69,us,us20002na6,2015-06-09T23:29:58.269Z,"240km ENE of Socorro Island, Mexico",earthquake
2015-06-09T15:04:06.840Z,-20.2058,-71.0714,18.5,4,mwr,,203,0.885,0.94,us,us20002n9x,2015-06-09T23:06:38.790Z,"97km W of Iquique, Chile",earthquake
2015-06-09T14:29:53.000Z,18.9454,-65.2025,14,2.7,Md,3,324,0.63780385,0.21,pr,pr15160007,2015-06-09T22:32:25.215Z,"71km N of Culebra, Puerto Rico",earthquake
2015-06-09T13:59:55.530Z,-20.2495,-70.9094,17.88,4.3,mwr,,141,0.731,1.04,us,us20002n9i,2015-06-09T22:02:35.009Z,"80km W of Iquique, Chile",earthquake
2015-06-09T13:58:53.000Z,59.5977,-152.8916,93.3,2.7,ml,,,,0.62,ak,ak11621200,2015-06-09T22:01:29.453Z,"62km WSW of Anchor Point, Alaska",earthquake
2015-06-09T13:17:22.340Z,-32.4003,-111.0597,14.91,5.1,mb,,42,5.465,0.61,us,us20002n9e,2015-06-09T21:19:58.778Z,"Southern East Pacific Rise",earthquake
2015-06-09T12:45:19.430Z,55.0163,-154.66,43.4,4.4,mb,,256,1.57,0.96,us,us20002n9a,2015-06-09T20:47:51.156Z,"108km SE of Chirikof Island, Alaska",earthquake
2015-06-09T12:38:51.130Z,-20.238,-70.8803,16.87,4.7,mwr,,137,0.704,1.15,us,us20002n8y,2015-06-09T13:08:38.471Z,"77km W of Iquique, Chile",earthquake
2015-06-09T09:26:19.000Z,56.6358,-156.4347,75.4,4.1,ml,,,,1.01,ak,ak11620906,2015-06-09T17:28:54.035Z,"108km NNW of Chirikof Island, Alaska",earthquake
2015-06-09T06:47:40.540Z,19.4091663,-155.2875061,1.84,2.62,ml,31,33,0.006838,0.35,hv,hv60956546,2015-06-09T14:50:08.106Z,"5km WSW of Volcano, Hawaii",earthquake
2015-06-09T06:41:38.820Z,-35.2291,-105.8529,10,4.9,mb,,104,27.674,0.86,us,us20002n6e,2015-06-09T19:56:49.000Z,"Southern East Pacific Rise",earthquake
2015-06-09T06:37:51.470Z,12.5234,-86.7873,167.7,4.6,mb,,130,0.089,0.84,us,us20002n6c,2015-06-09T14:40:23.688Z,"7km E of Telica, Nicaragua",earthquake
2015-06-09T05:40:54.000Z,18.948,-64.3656,34,2.7,Md,5,295.2,0.21829061,0.1,pr,pr15160000,2015-06-09T13:43:54.924Z,"64km NNE of Road Town, British Virgin Islands",earthquake
2015-06-09T05:39:29.000Z,19.5335,-65.7192,58,3.4,Md,17,284.4,1.26033634,0.28,pr,pr15160001,2015-06-09T13:41:57.102Z,"122km N of Suarez, Puerto Rico",earthquake
2015-06-09T02:22:54.870Z,16.8734,38.9969,14.81,4.6,mb,,122,7.936,1.1,us,us20002n5f,2015-06-09T10:25:24.560Z,"59km ENE of Nak'fa, Eritrea",earthquake
2015-06-09T01:26:51.480Z,36.2902,-97.5241,5,4.1,mb_lg,,114,0.428,0.27,us,us20002n57,2015-06-09T11:49:26.323Z,"21km W of Perry, Oklahoma",earthquake
2015-06-09T01:09:02.910Z,38.6699,23.3453,5.76,5.2,mwr,,31,0.862,0.79,us,us20002n56,2015-06-10T06:30:18.222Z,"11km ENE of Malesina, Greece",earthquake
2015-06-09T00:50:51.150Z,1.8818,-91.5825,10,4.8,mb,,96,2.85,1.17,us,us20002n52,2015-06-09T08:53:21.224Z,"Galapagos Islands, Ecuador region",earthquake
2015-06-09T00:16:44.400Z,-56.0072,-143.8338,10,5.6,mwc,,185,28.5,1.09,us,us20002nem,2015-06-09T22:12:24.923Z,"Pacific-Antarctic Ridge",earthquake
